frame, gt_idx, det_idx,  IoU, JIoU(det&gt), JIoU(det&gt_unc), JIoU ratio
000002,     1,      0,  0.81,   0.84,     0.79,     1.06
000004,     0,      0,  0.90,   0.85,     0.86,     0.98
000006,     1,      1,  0.89,   0.86,     0.84,     1.03
000006,     2,      0,  0.84,   0.78,     0.89,     0.88
000006,     3,      2,  0.74,   0.62,     0.45,     1.37
000008,     1,      1,  0.93,   0.76,     1.00,     0.76
000008,     3,      0,  0.94,   0.77,     1.00,     0.77
000008,     4,      5,  0.74,   0.77,     0.72,     1.07
000008,     5,      3,  0.65,   0.64,     0.71,     0.91
000019,     1,      0,  0.89,   0.79,     1.00,     0.79
000020,     0,      0,  0.91,   0.78,     0.89,     0.88
000021,     1,      1,  0.91,   0.79,     1.00,     0.79
000021,     2,      2,  0.87,   0.83,     0.93,     0.89
000021,     4,      0,  0.80,   0.84,     0.88,     0.96
000021,     5,      3,  0.93,   0.87,     0.85,     1.01
000021,     6,      5,  0.83,   0.85,     0.80,     1.07
000021,     7,      6,  0.35,   0.57,     0.38,     1.49
000024,     0,      0,  0.88,   0.85,     0.83,     1.03
000024,     1,      1,  0.71,   0.76,     0.74,     1.04
000025,     1,      0,  0.94,   0.79,     1.00,     0.79
000025,     2,      6,  0.89,   0.85,     0.78,     1.09
000025,     3,      2,  0.80,   0.74,     0.89,     0.83
000025,     5,      5,  0.79,   0.60,     0.40,     1.49
000031,     0,      2,  0.81,   0.74,     1.00,     0.74
000031,     1,      1,  0.87,   0.75,     1.00,     0.75
000031,     2,      3,  0.87,   0.77,     0.92,     0.84
000031,     4,      4,  0.87,   0.86,     0.84,     1.02
000035,     0,      2,  0.85,   0.43,     0.27,     1.56
000035,     1,      0,  0.82,   0.73,     0.88,     0.83
000035,     2,      1,  0.83,   0.78,     0.90,     0.86
000037,     0,      0,  0.87,   0.83,     0.82,     1.01
000037,     2,      1,  0.14,   0.63,     0.65,     0.96
000039,     0,      1,  0.93,   0.77,     1.00,     0.77
000039,     1,      0,  0.89,   0.79,     0.93,     0.85
000039,     2,      2,  0.87,   0.84,     0.83,     1.02
000039,     3,      3,  0.86,   0.85,     0.78,     1.10
000040,     0,      0,  0.83,   0.77,     0.86,     0.90
000042,     0,      0,  0.89,   0.52,     0.36,     1.44
000047,     0,      2,  0.85,   0.79,     0.74,     1.07
000047,     1,      1,  0.93,   0.75,     1.00,     0.75
000047,     2,      0,  0.96,   0.81,     1.00,     0.81
000047,     3,     -1,  0.00,   0.00,     0.35,     0.00
000047,     4,      3,  0.93,   0.85,     0.89,     0.96
000047,     7,      5,  0.79,   0.59,     0.38,     1.55
000047,     8,      4,  0.81,   0.57,     0.44,     1.29
000050,     0,      2,  0.93,   0.77,     0.88,     0.88
000050,     1,      0,  0.93,   0.78,     1.00,     0.78
000050,     3,      3,  0.88,   0.87,     0.79,     1.10
000052,     0,      2,  0.81,   0.73,     0.92,     0.79
000052,     1,      4,  0.73,   0.80,     0.84,     0.95
000052,     2,      3,  0.62,   0.67,     0.78,     0.87
