frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
000006,     3,      2,  0.74,   0.54,     0.45,     0.44,     1.20
000021,     7,      6,  0.35,   0.41,     0.38,     0.15,     1.08
000025,     5,      5,  0.79,   0.49,     0.40,     0.43,     1.22
000035,     0,      2,  0.85,   0.34,     0.27,     0.27,     1.23
000037,     2,      1,  0.14,   0.57,     0.65,     0.13,     0.87
000042,     0,      0,  0.89,   0.43,     0.36,     0.35,     1.17
000047,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
000047,     7,      5,  0.79,   0.49,     0.38,     0.38,     1.28
000047,     8,      4,  0.81,   0.48,     0.44,     0.43,     1.09
000052,     3,     -1,  0.00,   0.00,     0.27,     0.00,     0.00
000053,     6,      6,  0.85,   0.65,     0.56,     0.56,     1.15
000059,     1,      3,  0.82,   0.70,     0.67,     0.64,     1.03
000061,     2,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
000066,     1,      1,  0.84,   0.74,     0.69,     0.66,     1.07
000089,     4,      3,  0.94,   0.48,     0.44,     0.44,     1.08
000089,     5,      5,  0.78,   0.70,     0.67,     0.60,     1.04
000093,     4,      6,  0.63,   0.49,     0.38,     0.41,     1.31
000102,     2,      0,  0.26,   0.35,     0.30,     0.27,     1.17
000104,     4,     -1,  0.00,   0.00,     0.33,     0.00,     0.00
000104,     6,      4,  0.52,   0.52,     0.41,     0.39,     1.26
000106,     0,      3,  0.84,   0.35,     0.29,     0.29,     1.18
000107,     4,      6,  0.80,   0.73,     0.65,     0.65,     1.13
000107,     5,      4,  0.85,   0.71,     0.67,     0.62,     1.05
000107,     6,      7,  0.62,   0.26,     0.20,     0.19,     1.29
000117,     6,     -1,  0.00,   0.00,     0.57,     0.00,     0.00
000117,     7,      6,  0.82,   0.63,     0.57,     0.55,     1.11
000124,     0,      2,  0.37,   0.51,     0.38,     0.25,     1.34
000134,    13,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
000134,    14,      2,  0.53,   0.55,     0.46,     0.39,     1.19
000135,     4,      7,  0.91,   0.44,     0.37,     0.36,     1.18
000137,     0,      1,  0.25,   0.45,     0.36,     0.08,     1.23
000139,     0,      2,  0.52,   0.40,     0.35,     0.19,     1.12
000140,     3,      3,  0.72,   0.68,     0.61,     0.58,     1.11
000143,     1,      3,  0.05,   0.59,     0.53,     0.03,     1.12
000143,     2,      2,  0.64,   0.68,     0.66,     0.60,     1.04
000152,     2,      1,  0.84,   0.69,     0.69,     0.64,     1.00
000152,     6,      5,  0.84,   0.51,     0.39,     0.41,     1.29
000159,     4,      3,  0.88,   0.74,     0.69,     0.69,     1.06
000159,     6,      6,  0.93,   0.48,     0.42,     0.42,     1.15
000161,     6,     13,  0.76,   0.49,     0.40,     0.37,     1.22
000161,    10,      9,  0.63,   0.45,     0.47,     0.37,     0.97
000161,    11,      7,  0.95,   0.78,     0.69,     0.69,     1.13
000161,    12,      6,  0.84,   0.71,     0.66,     0.66,     1.07
000168,     1,      2,  0.82,   0.48,     0.45,     0.42,     1.07
000169,     4,      6,  0.86,   0.66,     0.59,     0.58,     1.12
000169,     9,      9,  0.84,   0.65,     0.58,     0.56,     1.13
000169,    13,      7,  0.94,   0.66,     0.64,     0.64,     1.04
000169,    14,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
000173,     6,      5,  0.66,   0.35,     0.24,     0.28,     1.42
000175,     1,      2,  0.89,   0.49,     0.42,     0.42,     1.18
000181,     7,      9,  0.76,   0.75,     0.70,     0.67,     1.08
000181,    11,     -1,  0.00,   0.00,     0.40,     0.00,     0.00
000183,     4,      5,  0.03,   0.54,     0.48,     0.03,     1.12
000183,     5,      4,  0.90,   0.76,     0.68,     0.69,     1.13
000188,     2,      3,  0.87,   0.70,     0.62,     0.63,     1.13
000191,     0,      6,  0.90,   0.42,     0.40,     0.39,     1.07
000191,     4,      4,  0.88,   0.61,     0.59,     0.58,     1.04
000191,     8,      7,  0.91,   0.29,     0.25,     0.25,     1.17
000191,     9,     -1,  0.00,   0.00,     0.50,     0.00,     0.00
000192,     0,      5,  0.92,   0.30,     0.28,     0.26,     1.07
000197,     4,      4,  0.96,   0.50,     0.46,     0.46,     1.09
000201,     7,      8,  0.03,   0.55,     0.43,     0.01,     1.29
000201,     8,      6,  0.80,   0.67,     0.68,     0.59,     1.00
000204,     0,      1,  0.76,   0.29,     0.23,     0.25,     1.30
000211,     5,      4,  0.55,   0.46,     0.44,     0.40,     1.04
000211,     6,      3,  0.87,   0.39,     0.36,     0.34,     1.07
000213,     9,      8,  0.86,   0.31,     0.29,     0.29,     1.09
000216,     0,      1,  0.78,   0.51,     0.49,     0.48,     1.04
000218,     5,      5,  0.90,   0.56,     0.54,     0.51,     1.05
000226,     2,      5,  0.82,   0.74,     0.65,     0.66,     1.13
000226,     3,     -1,  0.00,   0.00,     0.69,     0.00,     0.00
000229,     0,      1,  0.69,   0.29,     0.27,     0.25,     1.11
000231,     3,      4,  0.70,   0.37,     0.28,     0.30,     1.31
000235,     0,      3,  0.83,   0.33,     0.27,     0.27,     1.21
000236,     0,      2,  0.89,   0.43,     0.41,     0.41,     1.05
